English,Magyar
you,te/ön
i,én
the,a/az
to,hogy/-hoz/-hez/-höz
a,egy
s,'s (birtokos/rövidítés)
it,az/ez
and,és
that,az/hogy
t,'t (nem/rövidítés)
of,-nak/-nek/részeshatározó
is,van
in,-ban/-ben
what,mi/mit
we,mi/mink
me,engem/nekem
this,ez
he,ő (férfi)
for,számára/-ért
my,az én
on,-on/-en/-ön
have,van/bír
your,a te/az ön
do,csinál/tesz
was,volt
m,'m (vagyok/rövidítés)
no,nem
not,nem
be,lenni
are,vagytok/vannak
don,don (nem/rövidítés)
re,'re (vagy/rövidítés)
know,tud/ismer
can,tud/-hat/-het
with,-val/-vel
but,de/hanem
all,minden/összes
so,szóval/így/tehát
just,csak/éppen
there,ott/van
here,itt
they,ők
like,mint/tetszik/szeretni
ll,'ll (fog/rövidítés)
get,kap/szerez
she,ő (nő)
go,megy/menni
if,ha
right,jobb/igaz/rendben
out,ki/kint
about,körülbelül/ról/ről
up,fel/föl
at,-nál/-nél
him,őt/neki (férfi)
now,most
oh,ó/ó jaj
one,egy/egyetlen
come,jön/gyere
well,hát/nos/jól
her,az ő/őt (nő)
how,hogyan/milyen
yeah,igen/ja
ve,'ve (múlt idő)
will,fog/akarat
got,kapott/van
want,akar/szeretne
think,gondol/hisz
as,mint/ahogy
see,lát/néz
did,csinált/tett
good,jó
who,ki/aki
why,miért
from,-tól/-től
let,hadd/enged
his,az ő (férfi)
yes,igen
when,amikor/mikor
going,megy/fog menni
time,idő/alkalom
an,egy
okay,oké/rendben
back,vissza/hát
look,néz/kinézet
us,minket/bennünket
would,lenne/-na/-ne
them,őket/nekik
where,hol/hova
were,voltak/voltatok
take,vesz/fog/visz
then,akkor/aztán
had,volt/bírt
or,vagy
been,volt (múlt idő)
our,a mi
gonna,fog (rövidítés)
tell,mond/mesél
really,tényleg/igazán
man,férfi/ember/tesó
some,néhány/valamennyi
say,mond
hey,hé/helló
could,tudna/-hatna/-hetne
d,'d (múlt idő/rövidítés)
didn,nem (múlt idő)
by,által/mellé
need,kell/szükség
something,valami
has,van/bír
too,túl/is/szintén
more,több/még
way,út/mód
down,le/lent
make,csinál/készít
very,nagyon
never,soha/sosem
only,csak/egyetlen
people,emberek/népek
over,át/vége/fölött
because,mert/azért
little,kicsi/kevés
please,kérem/légyszíves
love,szerelem/szeret
should,kellene
mean,jelent/gonosz/átlag
said,mondta
sorry,sajnálom/bocsánat
give,ad
off,le/ki/szabadság
am,vagyok
thank,köszön
any,bármi/bármely
two,kettő/két
even,még/egyenletes/páros
much,sok/nagyon
doing,csinál/tesz
sure,biztos/persze
thing,dolog
these,ezek
help,segít/segítség
first,első/először
into,-ba/-be
anything,bármi/akármi
still,még/mégis/állókép
find,talál/keres
life,élet
nothing,semmi
sir,uram
day,nap
god,isten
work,munka/dolgozik
their,az ő (többes)
uh,ö/hm
again,újra/megint
maybe,talán/lehet
must,kell/muszáj
before,előtt/előbb
other,más/másik
wait,vár/várj
stop,áll meg/megáll
call,hív/hívás
after,után/utána
won,nyert
talk,beszél/beszélgetés
away,el/távol
than,mint
thought,gondolat/gondolta
home,otthon/haza
night,éjszaka/éjjel
put,tesz/rak
great,nagy/nagyszerű
those,azok
last,utolsó/múlt
better,jobb/jobban
everything,minden
told,mondta/elmondta
mr.,úr/mr.
new,új
things,dolgok
always,mindig
keep,tart/megtart
long,hosszú/sokáig
years,évek
leave,hagy/elhagy
does,csinál/tesz
money,pénz
around,körül/körbe
doesn,nem (rövidítés)
name,név/hívnak
place,hely/tér
ever,valaha/egyáltalán
feel,érez/tapint
guys,srácok/fiúk
father,apa
guy,srác/fickó
made,csinált/készített
old,régi/öreg
isn,nem (rövidítés)
which,amely/melyik
big,nagy
lot,sok/parcella
done,kész/megtéve
hello,helló/szia
nice,szép/kedves
believe,hisz/elhisz
girl,lány
someone,valaki
fine,rendben/jó/finom
thanks,köszönöm/kösz
wanted,akart
kind,fajta/kedves
coming,jön
house,ház
every,minden/valamennyi
ok,oké/rendben
through,keresztül/át
being,lét/létezés
course,persze/természetesen/tanfolyam
stay,marad
left,bal/elhagyott
dad,apa/apu
enough,elég
happened,történt
came,jött
may,május/lehet
mother,anya/édesanya
wrong,rossz/téves
world,világ
bad,rossz/gonosz
might,lehet/-hatna/-hetne
three,három
today,ma
listen,hallgat/hallgatni
another,másik/egy másik
understand,ért/megért
hear,hall
remember,emlékszik
ask,kérdez
own,saját/birtokol
same,ugyanaz/azonos
show,mutat/bemutató
else,más/egyéb
kill,öl/megöl
talking,beszél
found,talált
next,következő/mellett
getting,kap/szerez
care,gondoskodik/törődik
car,autó/kocsi
looking,néz
son,fiú/fia
try,próbál/megpróbál
woman,nő/asszony
went,ment/elment
hi,szia/helló
dead,halott/holt
many,sok/sokan
mind,elme/bánja
wasn,nem volt (rövidítés)
friend,barát
best,legjobb
mom,anya/anyu
hell,pokol/a fene
morning,reggel/délelőtt
trying,próbál
boy,fiú
together,együtt
yourself,magad/önmaga
job,munka/állás
saw,látott/fűrész
family,család
real,valódi/igazi
without,nélkül
baby,baba/bébi
room,szoba/terem
wouldn,nem lenne (rövidítés)
already,már
move,mozog/költözik
most,legtöbb/legnagyobb
seen,látott (múlt idő)
live,él/lakik
miss,hiányzik/kisasszony
actually,valójában/tulajdonképpen
huh,mi/hő
shit,szar/cucc
both,mindkettő/mind a kettő
heard,hallott
once,egyszer/valamikor
ready,kész
head,fej/vezető
called,hívott/nevezett
used,használt/szokott
idea,ötlet/elképzelés
knew,tudta
hold,tart/fog
happy,boldog/örül
door,ajtó
such,olyan
fuck,basz/a fene
brother,testvér/fivér
also,szintén/is
pretty,csinos/elég/meglehetősen
bit,darab/kicsit/harap
took,vett/fogott
haven,nem (rövidítés)
yet,még/mégis
men,férfiak
whole,egész/teljes
start,kezd/kezdet
use,használ/használ
while,amíg/időközben
since,óta/mivel
wife,feleség
days,napok
guess,tippel/gondol
tomorrow,holnap
matter,ügy/számít
meet,találkozik/megismer
bring,hoz
tonight,ma este
everyone,mindenki
run,fut/szalad
wanna,akar (rövidítés)
hard,kemény/nehéz
ah,á/ó
alone,egyedül
myself,magam/önmagam
school,iskola
gone,elment/eltűnt
um,öö/hm
end,vég/végződik
saying,mondván/mondás
phone,telefon
play,játszik/játék
looks,néz ki/kinézet
couldn,nem tudott (rövidítés)
fucking,kibaszott/rohadt
problem,probléma/gond
few,kevés/néhány
friends,barátok
gotta,kell (rövidítés)
ago,ezelőtt/régen
open,nyit/nyitott
anyone,bárki/akárki
killed,ölt/megölt
hope,remél/remény
face,arc/szembenéz
until,amíg/eddig
lost,elveszett/elveszített
police,rendőrség
excuse,bocsánat/kifogás
turn,fordul/fordít
business,üzlet/üzleti
case,eset/ügy
wants,akar
says,mond
TRUE,igaz
die,meghal
heart,szív
soon,hamarosan/nemsokára
each,mindegyik/minden
worry,aggódik/aggodalom
later,később/aztán
year,év
watch,néz/óra
music,zene
hand,kéz/átad
having,van/bír
probably,valószínűleg
beautiful,szép/gyönyörű
doctor,orvos/doktor
sit,ül/leül
eat,eszik
thinking,gondol/gondolkodik
young,fiatal
second,második/másodperc
working,dolgozik
water,víz
person,személy/ember
part,rész/alkatrész
kids,gyerekek
late,késő/késett
stuff,cucc/dolog
exactly,pontosan/éppen
under,alatt/alá
death,halál
minute,perc/pillanat
pay,fizet/fizetés
crazy,őrült/bolond
forget,elfelejt
everybody,mindenki
kid,gyerek/kölyök
change,változik/változás/váltópénz
gave,adott
happen,történik
damn,az istenit/átkozott
five,öt
drink,iszik/ital
far,messze/távol
knows,tud
its,az ő/annak
whatever,bármi/akármi
eyes,szemek
shut,becsuk/zár
aren,nem (rövidítés)
hit,üt/találat
taking,vesz/fog
easy,könnyű
times,idők/alkalmak
check,ellenőriz/csekk
